"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","MPN"
"C1,C8","2","1u","","","","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","~","GXT155R60J105KE01D"
"C2,C11","2","10n","","","","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","~","GRM155R70J103KA01D"
"C3","1","4u7","","","","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","~","MCASJ105BB5475MFNA1J"
"C4,C5,C6,C9,C10,C15","6","100n","","","","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","~","04026C104MAT2A"
"C12,C13","2","12p","","","","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","~","0402YA120JAT2A"
"C16","1","0u1","","","","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","~","CC0603KRX7R8BB104"
"C17","1","2u2","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","KGM31HR71C225KU"
"C19","1","33u","","","","Capacitor_SMD:C_2220_5750Metric_Pad1.97x5.40mm_HandSolder","~","CKG57NX7R1C336M500JH"
"D1","1","BLUE","","","","LED_SMD:LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder","~","599-1A90-147F"
"D2","1","WS2812B-2020","","","","LED_SMD:LED_WS2812B-2020_PLCC4_2.0x2.0mm","https://cdn-shop.adafruit.com/product-files/4684/4684_WS2812B-2020_V1.3_EN.pdf","150044M155260"
"D3","1","RED","","","","LED_SMD:LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder","~","SML-P12UTT86R"
"F1","1","350mA","","","","Fuse:Fuse_0402_1005Metric_Pad0.77x0.64mm_HandSolder","~",""
"FB1","1","600 @ 600MHz","","","","Inductor_SMD:L_0402_1005Metric_Pad0.77x0.64mm_HandSolder","~",""
"H1,H2,H3,H4","4","MountingHole_Pad","","Exclure de la Liste du Matériel","","MountingHole:MountingHole_4.3mm_M4_Pad_Via","~",""
"J1","1","ESC","","","","Connector_PinHeader_1.27mm:PinHeader_1x03_P1.27mm_Vertical","~",""
"J2","1","BLUETOOTH","","","","Connector_PinSocket_2.00mm:PinSocket_1x05_P2.00mm_Horizontal","~",""
"J3","1","ACCELEROMETER","","","","Connector_PinSocket_2.00mm:PinSocket_1x07_P2.00mm_Vertical","~",""
"J4","1","Conn_02x07_Odd_Even","","","","Connector_PinHeader_2.54mm:PinHeader_2x07_P2.54mm_Vertical_SMD","~",""
"J5","1","Conn_01x16_Socket","","","","Connector_PinSocket_2.00mm:PinSocket_1x16_P2.00mm_Vertical","~",""
"L1","1","39n","","","","Inductor_SMD:L_0402_1005Metric_Pad0.77x0.64mm_HandSolder","~","LQG15HS39NH02D"
"L2","1","3u3","","","","Custom_Library:78439369033","~","78439369033"
"Q1","1","AO3401A","","","","Package_TO_SOT_SMD:SOT-23","http://www.aosmd.com/pdfs/datasheet/AO3401A.pdf","SQ2389CES-T1_GE3"
"R1","1","1k5","","","","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~","4D02WGJ0152TCE"
"R2","1","10k","","","","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~","4D02WGF1002TCE"
"R3","1","47","","","","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~","4D02WGF470JTCE"
"R9","1","31k6","","","","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~","CRT0402-BY-3162GLF"
"R10","1","10k2","","","","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~","ERA-2VPB1022X"
"R13","1","1k","","","","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~","RC0402JR-7D1KL"
"R14","1","220","","","","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~","ERA-2ARB221X"
"SW1,SW2","2","SW_Push","","","","Custom_Library:15715636","~","1571563-6"
"TP1","1","TestPoint","","","","TestPoint:TestPoint_Pad_1.5x1.5mm","~",""
"U1","1","STM32G431CBUx","","","","Package_DFN_QFN:QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm","https://www.st.com/resource/en/datasheet/stm32g431cb.pdf","STM32G431CBU6"
"U2","1","LMR51625","","","","Package_TO_SOT_SMD:SOT-23-6","https://www.ti.com/lit/ds/symlink/lmr51625.pdf?ts=1757427403594&ref_url=https%253A%252F%252Fbr.mouser.com%252F","LMR51625XDDCR"
"VR1","1","M61X103KT20","","","","Custom_Library:M61X103KT20","https://www.vishay.com/docs/51108/m61.pdf","M61X103KT20"
"Y1","1","Crystal_GND24_Small","","","","Custom_Library:LFXTAL071744Reel","~","LFXTAL071744Reel"
